Day Number, Animals alive, Empty spots, Number of Plants, Average energy level for living animals, Average life length for dead animals, Dominant genotype
1, 100, 6300, 0, 100, 0, 3
2, 105, 6107, 190, 88, 0, 2
3, 105, 6107, 190, 88, 0, 2
4, 105, 6107, 190, 88, 0, 2
5, 105, 6107, 190, 88, 0, 2
6, 105, 6104, 192, 87, 0, 1
7, 106, 6085, 211, 86, 0, 1
8, 106, 6085, 211, 86, 0, 1
9, 106, 6085, 211, 86, 0, 1
10, 106, 6085, 211, 86, 0, 1
11, 108, 6060, 236, 84, 0, 2
12, 108, 6038, 257, 83, 0, 7
13, 109, 6017, 276, 82, 0, 3
14, 110, 5996, 297, 81, 0, 0
15, 110, 5976, 315, 80, 0, 1
16, 110, 5952, 339, 79, 0, 0
17, 110, 5932, 359, 79, 0, 1
18, 111, 5908, 384, 77, 0, 2
19, 111, 5886, 403, 76, 0, 3
20, 111, 5862, 427, 76, 0, 3
21, 111, 5847, 442, 76, 0, 3
22, 112, 5831, 460, 75, 0, 1
23, 116, 5814, 479, 72, 0, 1
24, 120, 5791, 497, 69, 0, 6
25, 123, 5768, 517, 67, 0, 7
26, 124, 5747, 536, 65, 0, 1
27, 125, 5727, 552, 65, 0, 7
28, 125, 5709, 569, 64, 0, 1
29, 126, 5689, 588, 63, 0, 1
30, 126, 5670, 606, 63, 0, 3
31, 126, 5653, 622, 63, 0, 5
32, 126, 5636, 640, 62, 0, 3
33, 125, 5618, 658, 62, 30, 6
34, 125, 5598, 678, 61, 30, 5
35, 127, 5581, 696, 60, 30, 5
36, 128, 5562, 714, 59, 30, 1
37, 128, 5542, 730, 59, 30, 3
38, 127, 5534, 739, 60, 30, 1
39, 126, 5521, 756, 60, 30, 3
40, 128, 5513, 766, 59, 30, 3
41, 125, 5493, 784, 60, 35, 4
42, 125, 5474, 802, 60, 35, 1
43, 125, 5464, 815, 59, 35, 6
44, 125, 5443, 832, 59, 35, 6
45, 127, 5432, 846, 58, 35, 1
46, 129, 5413, 862, 57, 35, 3
47, 130, 5399, 875, 56, 35, 6
48, 131, 5386, 887, 56, 35, 1
49, 133, 5374, 899, 55, 35, 4
50, 133, 5359, 912, 55, 35, 3
51, 128, 5352, 921, 57, 40, 4
52, 129, 5336, 937, 57, 40, 4
53, 128, 5320, 953, 57, 40, 4
54, 128, 5308, 965, 57, 40, 0
55, 128, 5298, 975, 57, 40, 3
56, 129, 5287, 988, 56, 40, 2
57, 131, 5275, 1001, 55, 40, 4
58, 131, 5257, 1014, 55, 40, 7
59, 131, 5248, 1023, 56, 40, 0
60, 131, 5239, 1031, 56, 40, 3
61, 132, 5233, 1039, 56, 40, 3
62, 132, 5219, 1052, 56, 40, 2
63, 132, 5205, 1068, 55, 40, 7
64, 132, 5188, 1081, 55, 40, 5
